left-weight,left-distance,right-weight,right-distance,class
1.0,4.0,5.0,4.0,b'R'
1.0,4.0,5.0,5.0,b'R'
1.0,5.0,1.0,1.0,b'L'
1.0,5.0,1.0,2.0,b'L'
1.0,5.0,1.0,3.0,b'L'
1.0,5.0,1.0,4.0,b'L'
1.0,5.0,1.0,5.0,b'B'
1.0,5.0,2.0,1.0,b'L'
1.0,5.0,2.0,2.0,b'L'
1.0,5.0,2.0,3.0,b'R'
1.0,5.0,2.0,4.0,b'R'
1.0,5.0,2.0,5.0,b'R'
1.0,5.0,3.0,1.0,b'L'
1.0,5.0,3.0,2.0,b'R'
1.0,5.0,3.0,3.0,b'R'
1.0,5.0,3.0,4.0,b'R'
1.0,5.0,3.0,5.0,b'R'
1.0,5.0,4.0,1.0,b'L'
1.0,5.0,4.0,2.0,b'R'
1.0,5.0,4.0,3.0,b'R'
1.0,5.0,4.0,4.0,b'R'
1.0,5.0,4.0,5.0,b'R'
1.0,5.0,5.0,1.0,b'B'
1.0,5.0,5.0,2.0,b'R'
1.0,5.0,5.0,3.0,b'R'
1.0,5.0,5.0,4.0,b'R'
1.0,5.0,5.0,5.0,b'R'
2.0,1.0,1.0,1.0,b'L'
2.0,1.0,1.0,2.0,b'B'
2.0,1.0,1.0,3.0,b'R'
2.0,1.0,1.0,4.0,b'R'
2.0,1.0,1.0,5.0,b'R'
2.0,1.0,2.0,1.0,b'B'
2.0,1.0,2.0,2.0,b'R'
2.0,1.0,2.0,3.0,b'R'
2.0,1.0,2.0,4.0,b'R'
2.0,1.0,2.0,5.0,b'R'
2.0,1.0,3.0,1.0,b'R'
2.0,1.0,3.0,2.0,b'R'
2.0,1.0,3.0,3.0,b'R'
2.0,1.0,3.0,4.0,b'R'
2.0,1.0,3.0,5.0,b'R'
2.0,1.0,4.0,1.0,b'R'
2.0,1.0,4.0,2.0,b'R'
2.0,1.0,4.0,3.0,b'R'
2.0,1.0,4.0,4.0,b'R'
2.0,1.0,4.0,5.0,b'R'
2.0,1.0,5.0,1.0,b'R'
2.0,1.0,5.0,2.0,b'R'
2.0,1.0,5.0,3.0,b'R'
2.0,1.0,5.0,4.0,b'R'
2.0,1.0,5.0,5.0,b'R'
2.0,2.0,1.0,1.0,b'L'
2.0,2.0,1.0,2.0,b'L'
2.0,2.0,1.0,3.0,b'L'
2.0,2.0,1.0,4.0,b'B'
2.0,2.0,1.0,5.0,b'R'
2.0,2.0,2.0,1.0,b'L'
2.0,2.0,2.0,2.0,b'B'
2.0,2.0,2.0,3.0,b'R'
2.0,2.0,2.0,4.0,b'R'
2.0,2.0,2.0,5.0,b'R'
2.0,2.0,3.0,1.0,b'L'
2.0,2.0,3.0,2.0,b'R'
2.0,2.0,3.0,3.0,b'R'
2.0,2.0,3.0,4.0,b'R'
2.0,2.0,3.0,5.0,b'R'
2.0,2.0,4.0,1.0,b'B'
2.0,2.0,4.0,2.0,b'R'
2.0,2.0,4.0,3.0,b'R'
2.0,2.0,4.0,4.0,b'R'
2.0,2.0,4.0,5.0,b'R'
2.0,2.0,5.0,1.0,b'R'
2.0,2.0,5.0,2.0,b'R'
2.0,2.0,5.0,3.0,b'R'
2.0,2.0,5.0,4.0,b'R'
2.0,2.0,5.0,5.0,b'R'
2.0,3.0,1.0,1.0,b'L'
2.0,3.0,1.0,2.0,b'L'
2.0,3.0,1.0,3.0,b'L'
2.0,3.0,1.0,4.0,b'L'
2.0,3.0,1.0,5.0,b'L'
2.0,3.0,2.0,1.0,b'L'
2.0,3.0,2.0,2.0,b'L'
2.0,3.0,2.0,3.0,b'B'
2.0,3.0,2.0,4.0,b'R'
2.0,3.0,2.0,5.0,b'R'
2.0,3.0,3.0,1.0,b'L'
2.0,3.0,3.0,2.0,b'B'
2.0,3.0,3.0,3.0,b'R'
2.0,3.0,3.0,4.0,b'R'
2.0,3.0,3.0,5.0,b'R'
2.0,3.0,4.0,1.0,b'L'
2.0,3.0,4.0,2.0,b'R'
2.0,3.0,4.0,3.0,b'R'
2.0,3.0,4.0,4.0,b'R'
2.0,3.0,4.0,5.0,b'R'
2.0,3.0,5.0,1.0,b'L'
2.0,3.0,5.0,2.0,b'R'
2.0,3.0,5.0,3.0,b'R'
2.0,3.0,5.0,4.0,b'R'
2.0,3.0,5.0,5.0,b'R'
2.0,4.0,1.0,1.0,b'L'
2.0,4.0,1.0,2.0,b'L'
2.0,4.0,1.0,3.0,b'L'
2.0,4.0,1.0,4.0,b'L'
2.0,4.0,1.0,5.0,b'L'
2.0,4.0,2.0,1.0,b'L'
2.0,4.0,2.0,2.0,b'L'
2.0,4.0,2.0,3.0,b'L'
2.0,4.0,2.0,4.0,b'B'
2.0,4.0,2.0,5.0,b'R'
2.0,4.0,3.0,1.0,b'L'
2.0,4.0,3.0,2.0,b'L'
2.0,4.0,3.0,3.0,b'R'
2.0,4.0,3.0,4.0,b'R'
2.0,4.0,3.0,5.0,b'R'
2.0,4.0,4.0,1.0,b'L'
2.0,4.0,4.0,2.0,b'B'
2.0,4.0,4.0,3.0,b'R'
2.0,4.0,4.0,4.0,b'R'
2.0,4.0,4.0,5.0,b'R'
2.0,4.0,5.0,1.0,b'L'
2.0,4.0,5.0,2.0,b'R'
2.0,4.0,5.0,3.0,b'R'
2.0,4.0,5.0,4.0,b'R'
2.0,4.0,5.0,5.0,b'R'
2.0,5.0,1.0,1.0,b'L'
2.0,5.0,1.0,2.0,b'L'
2.0,5.0,1.0,3.0,b'L'
2.0,5.0,1.0,4.0,b'L'
2.0,5.0,1.0,5.0,b'L'
2.0,5.0,2.0,1.0,b'L'
2.0,5.0,2.0,2.0,b'L'
2.0,5.0,2.0,3.0,b'L'
2.0,5.0,2.0,4.0,b'L'
2.0,5.0,2.0,5.0,b'B'
2.0,5.0,3.0,1.0,b'L'
2.0,5.0,3.0,2.0,b'L'
2.0,5.0,3.0,3.0,b'L'
2.0,5.0,3.0,4.0,b'R'
2.0,5.0,3.0,5.0,b'R'
2.0,5.0,4.0,1.0,b'L'
2.0,5.0,4.0,2.0,b'L'
2.0,5.0,4.0,3.0,b'R'
2.0,5.0,4.0,4.0,b'R'
2.0,5.0,4.0,5.0,b'R'
2.0,5.0,5.0,1.0,b'L'
2.0,5.0,5.0,2.0,b'B'
2.0,5.0,5.0,3.0,b'R'
2.0,5.0,5.0,4.0,b'R'
2.0,5.0,5.0,5.0,b'R'
3.0,1.0,1.0,1.0,b'L'
3.0,1.0,1.0,2.0,b'L'
3.0,1.0,1.0,3.0,b'B'
3.0,1.0,1.0,4.0,b'R'
3.0,1.0,1.0,5.0,b'R'
3.0,1.0,2.0,1.0,b'L'
3.0,1.0,2.0,2.0,b'R'
3.0,1.0,2.0,3.0,b'R'
3.0,1.0,2.0,4.0,b'R'
3.0,1.0,2.0,5.0,b'R'
3.0,1.0,3.0,1.0,b'B'
3.0,1.0,3.0,2.0,b'R'
3.0,1.0,3.0,3.0,b'R'
3.0,1.0,3.0,4.0,b'R'
3.0,1.0,3.0,5.0,b'R'
3.0,1.0,4.0,1.0,b'R'
3.0,1.0,4.0,2.0,b'R'
3.0,1.0,4.0,3.0,b'R'
3.0,1.0,4.0,4.0,b'R'
3.0,1.0,4.0,5.0,b'R'
3.0,1.0,5.0,1.0,b'R'
3.0,1.0,5.0,2.0,b'R'
3.0,1.0,5.0,3.0,b'R'
3.0,1.0,5.0,4.0,b'R'
3.0,1.0,5.0,5.0,b'R'
3.0,2.0,1.0,1.0,b'L'
3.0,2.0,1.0,2.0,b'L'
3.0,2.0,1.0,3.0,b'L'
3.0,2.0,1.0,4.0,b'L'
3.0,2.0,1.0,5.0,b'L'
3.0,2.0,2.0,1.0,b'L'
3.0,2.0,2.0,2.0,b'L'
3.0,2.0,2.0,3.0,b'B'
3.0,2.0,2.0,4.0,b'R'
3.0,2.0,2.0,5.0,b'R'
3.0,2.0,3.0,1.0,b'L'
3.0,2.0,3.0,2.0,b'B'
3.0,2.0,3.0,3.0,b'R'
3.0,2.0,3.0,4.0,b'R'
3.0,2.0,3.0,5.0,b'R'
3.0,2.0,4.0,1.0,b'L'
3.0,2.0,4.0,2.0,b'R'
3.0,2.0,4.0,3.0,b'R'
3.0,2.0,4.0,4.0,b'R'
3.0,2.0,4.0,5.0,b'R'
3.0,2.0,5.0,1.0,b'L'
3.0,2.0,5.0,2.0,b'R'
3.0,2.0,5.0,3.0,b'R'
3.0,2.0,5.0,4.0,b'R'
3.0,2.0,5.0,5.0,b'R'
3.0,3.0,1.0,1.0,b'L'
3.0,3.0,1.0,2.0,b'L'
3.0,3.0,1.0,3.0,b'L'
3.0,3.0,1.0,4.0,b'L'
3.0,3.0,1.0,5.0,b'L'
3.0,3.0,2.0,1.0,b'L'
3.0,3.0,2.0,2.0,b'L'
3.0,3.0,2.0,3.0,b'L'
3.0,3.0,2.0,4.0,b'L'
3.0,3.0,2.0,5.0,b'R'
3.0,3.0,3.0,1.0,b'L'
3.0,3.0,3.0,2.0,b'L'
3.0,3.0,3.0,3.0,b'B'
3.0,3.0,3.0,4.0,b'R'
3.0,3.0,3.0,5.0,b'R'
3.0,3.0,4.0,1.0,b'L'
3.0,3.0,4.0,2.0,b'L'
3.0,3.0,4.0,3.0,b'R'
3.0,3.0,4.0,4.0,b'R'
3.0,3.0,4.0,5.0,b'R'
3.0,3.0,5.0,1.0,b'L'
3.0,3.0,5.0,2.0,b'R'
3.0,3.0,5.0,3.0,b'R'
3.0,3.0,5.0,4.0,b'R'
3.0,3.0,5.0,5.0,b'R'
3.0,4.0,1.0,1.0,b'L'
3.0,4.0,1.0,2.0,b'L'
3.0,4.0,1.0,3.0,b'L'
3.0,4.0,1.0,4.0,b'L'
3.0,4.0,1.0,5.0,b'L'
3.0,4.0,2.0,1.0,b'L'
3.0,4.0,2.0,2.0,b'L'
3.0,4.0,2.0,3.0,b'L'
3.0,4.0,2.0,4.0,b'L'
3.0,4.0,2.0,5.0,b'L'
3.0,4.0,3.0,1.0,b'L'
3.0,4.0,3.0,2.0,b'L'
3.0,4.0,3.0,3.0,b'L'
3.0,4.0,3.0,4.0,b'B'
3.0,4.0,3.0,5.0,b'R'
3.0,4.0,4.0,1.0,b'L'
3.0,4.0,4.0,2.0,b'L'
3.0,4.0,4.0,3.0,b'B'
3.0,4.0,4.0,4.0,b'R'
3.0,4.0,4.0,5.0,b'R'
3.0,4.0,5.0,1.0,b'L'
3.0,4.0,5.0,2.0,b'L'
3.0,4.0,5.0,3.0,b'R'
3.0,4.0,5.0,4.0,b'R'
3.0,4.0,5.0,5.0,b'R'
3.0,5.0,1.0,1.0,b'L'
3.0,5.0,1.0,2.0,b'L'
3.0,5.0,1.0,3.0,b'L'
3.0,5.0,1.0,4.0,b'L'
3.0,5.0,1.0,5.0,b'L'
3.0,5.0,2.0,1.0,b'L'
3.0,5.0,2.0,2.0,b'L'
3.0,5.0,2.0,3.0,b'L'
3.0,5.0,2.0,4.0,b'L'
3.0,5.0,2.0,5.0,b'L'
3.0,5.0,3.0,1.0,b'L'
3.0,5.0,3.0,2.0,b'L'
3.0,5.0,3.0,3.0,b'L'
3.0,5.0,3.0,4.0,b'L'
3.0,5.0,3.0,5.0,b'B'
3.0,5.0,4.0,1.0,b'L'
3.0,5.0,4.0,2.0,b'L'
3.0,5.0,4.0,3.0,b'L'
3.0,5.0,4.0,4.0,b'R'
3.0,5.0,4.0,5.0,b'R'
3.0,5.0,5.0,1.0,b'L'
3.0,5.0,5.0,2.0,b'L'
3.0,5.0,5.0,3.0,b'B'
3.0,5.0,5.0,4.0,b'R'
3.0,5.0,5.0,5.0,b'R'
4.0,1.0,1.0,1.0,b'L'
4.0,1.0,1.0,2.0,b'L'
4.0,1.0,1.0,3.0,b'L'
4.0,1.0,1.0,4.0,b'B'
4.0,1.0,1.0,5.0,b'R'
4.0,1.0,2.0,1.0,b'L'
4.0,1.0,2.0,2.0,b'B'
4.0,1.0,2.0,3.0,b'R'
4.0,1.0,2.0,4.0,b'R'
4.0,1.0,2.0,5.0,b'R'
4.0,1.0,3.0,1.0,b'L'
4.0,1.0,3.0,2.0,b'R'
4.0,1.0,3.0,3.0,b'R'
4.0,1.0,3.0,4.0,b'R'
4.0,1.0,3.0,5.0,b'R'
4.0,1.0,4.0,1.0,b'B'
4.0,1.0,4.0,2.0,b'R'
4.0,1.0,4.0,3.0,b'R'
4.0,1.0,4.0,4.0,b'R'
4.0,1.0,4.0,5.0,b'R'
4.0,1.0,5.0,1.0,b'R'
4.0,1.0,5.0,2.0,b'R'
4.0,1.0,5.0,3.0,b'R'
4.0,1.0,5.0,4.0,b'R'
4.0,1.0,5.0,5.0,b'R'
4.0,2.0,1.0,1.0,b'L'
4.0,2.0,1.0,2.0,b'L'
4.0,2.0,1.0,3.0,b'L'
4.0,2.0,1.0,4.0,b'L'
4.0,2.0,1.0,5.0,b'L'
4.0,2.0,2.0,1.0,b'L'
4.0,2.0,2.0,2.0,b'L'
4.0,2.0,2.0,3.0,b'L'
4.0,2.0,2.0,4.0,b'B'
4.0,2.0,2.0,5.0,b'R'
4.0,2.0,3.0,1.0,b'L'
4.0,2.0,3.0,2.0,b'L'
4.0,2.0,3.0,3.0,b'R'
4.0,2.0,3.0,4.0,b'R'
4.0,2.0,3.0,5.0,b'R'
4.0,2.0,4.0,1.0,b'L'
4.0,2.0,4.0,2.0,b'B'
4.0,2.0,4.0,3.0,b'R'
4.0,2.0,4.0,4.0,b'R'
4.0,2.0,4.0,5.0,b'R'
4.0,2.0,5.0,1.0,b'L'
4.0,2.0,5.0,2.0,b'R'
4.0,2.0,5.0,3.0,b'R'
4.0,2.0,5.0,4.0,b'R'
4.0,2.0,5.0,5.0,b'R'
4.0,3.0,1.0,1.0,b'L'
4.0,3.0,1.0,2.0,b'L'
4.0,3.0,1.0,3.0,b'L'
4.0,3.0,1.0,4.0,b'L'
4.0,3.0,1.0,5.0,b'L'
4.0,3.0,2.0,1.0,b'L'
4.0,3.0,2.0,2.0,b'L'
4.0,3.0,2.0,3.0,b'L'
4.0,3.0,2.0,4.0,b'L'
4.0,3.0,2.0,5.0,b'L'
4.0,3.0,3.0,1.0,b'L'
4.0,3.0,3.0,2.0,b'L'
4.0,3.0,3.0,3.0,b'L'
4.0,3.0,3.0,4.0,b'B'
4.0,3.0,3.0,5.0,b'R'
4.0,3.0,4.0,1.0,b'L'
4.0,3.0,4.0,2.0,b'L'
4.0,3.0,4.0,3.0,b'B'
4.0,3.0,4.0,4.0,b'R'
4.0,3.0,4.0,5.0,b'R'
4.0,3.0,5.0,1.0,b'L'
4.0,3.0,5.0,2.0,b'L'
4.0,3.0,5.0,3.0,b'R'
4.0,3.0,5.0,4.0,b'R'
4.0,3.0,5.0,5.0,b'R'
4.0,4.0,1.0,1.0,b'L'
4.0,4.0,1.0,2.0,b'L'
4.0,4.0,1.0,3.0,b'L'
4.0,4.0,1.0,4.0,b'L'
4.0,4.0,1.0,5.0,b'L'
4.0,4.0,2.0,1.0,b'L'
4.0,4.0,2.0,2.0,b'L'
4.0,4.0,2.0,3.0,b'L'
4.0,4.0,2.0,4.0,b'L'
4.0,4.0,2.0,5.0,b'L'
4.0,4.0,3.0,1.0,b'L'
4.0,4.0,3.0,2.0,b'L'
4.0,4.0,3.0,3.0,b'L'
4.0,4.0,3.0,4.0,b'L'
4.0,4.0,3.0,5.0,b'L'
4.0,4.0,4.0,1.0,b'L'
4.0,4.0,4.0,2.0,b'L'
4.0,4.0,4.0,3.0,b'L'
4.0,4.0,4.0,4.0,b'B'
4.0,4.0,4.0,5.0,b'R'
4.0,4.0,5.0,1.0,b'L'
4.0,4.0,5.0,2.0,b'L'
4.0,4.0,5.0,3.0,b'L'
4.0,4.0,5.0,4.0,b'R'
4.0,4.0,5.0,5.0,b'R'
4.0,5.0,1.0,1.0,b'L'
4.0,5.0,1.0,2.0,b'L'
4.0,5.0,1.0,3.0,b'L'
4.0,5.0,1.0,4.0,b'L'
4.0,5.0,1.0,5.0,b'L'
4.0,5.0,2.0,1.0,b'L'
4.0,5.0,2.0,2.0,b'L'
4.0,5.0,2.0,3.0,b'L'
4.0,5.0,2.0,4.0,b'L'
4.0,5.0,2.0,5.0,b'L'
4.0,5.0,3.0,1.0,b'L'
4.0,5.0,3.0,2.0,b'L'
4.0,5.0,3.0,3.0,b'L'
4.0,5.0,3.0,4.0,b'L'
4.0,5.0,3.0,5.0,b'L'
4.0,5.0,4.0,1.0,b'L'
4.0,5.0,4.0,2.0,b'L'
4.0,5.0,4.0,3.0,b'L'
4.0,5.0,4.0,4.0,b'L'
4.0,5.0,4.0,5.0,b'B'
4.0,5.0,5.0,1.0,b'L'
4.0,5.0,5.0,2.0,b'L'
4.0,5.0,5.0,3.0,b'L'
4.0,5.0,5.0,4.0,b'B'
4.0,5.0,5.0,5.0,b'R'
5.0,1.0,1.0,1.0,b'L'
5.0,1.0,1.0,2.0,b'L'
5.0,1.0,1.0,3.0,b'L'
5.0,1.0,1.0,4.0,b'L'
5.0,1.0,1.0,5.0,b'B'
5.0,1.0,2.0,1.0,b'L'
5.0,1.0,2.0,2.0,b'L'
5.0,1.0,2.0,3.0,b'R'
5.0,1.0,2.0,4.0,b'R'
5.0,1.0,2.0,5.0,b'R'
5.0,1.0,3.0,1.0,b'L'
5.0,1.0,3.0,2.0,b'R'
5.0,1.0,3.0,3.0,b'R'
5.0,1.0,3.0,4.0,b'R'
5.0,1.0,3.0,5.0,b'R'
5.0,1.0,4.0,1.0,b'L'
5.0,1.0,4.0,2.0,b'R'
5.0,1.0,4.0,3.0,b'R'
5.0,1.0,4.0,4.0,b'R'
5.0,1.0,4.0,5.0,b'R'
5.0,1.0,5.0,1.0,b'B'
5.0,1.0,5.0,2.0,b'R'
5.0,1.0,5.0,3.0,b'R'
5.0,1.0,5.0,4.0,b'R'
5.0,1.0,5.0,5.0,b'R'
5.0,2.0,1.0,1.0,b'L'
5.0,2.0,1.0,2.0,b'L'
5.0,2.0,1.0,3.0,b'L'
5.0,2.0,1.0,4.0,b'L'
5.0,2.0,1.0,5.0,b'L'
5.0,2.0,2.0,1.0,b'L'
5.0,2.0,2.0,2.0,b'L'
5.0,2.0,2.0,3.0,b'L'
5.0,2.0,2.0,4.0,b'L'
5.0,2.0,2.0,5.0,b'B'
5.0,2.0,3.0,1.0,b'L'
5.0,2.0,3.0,2.0,b'L'
5.0,2.0,3.0,3.0,b'L'
5.0,2.0,3.0,4.0,b'R'
5.0,2.0,3.0,5.0,b'R'
5.0,2.0,4.0,1.0,b'L'
5.0,2.0,4.0,2.0,b'L'
5.0,2.0,4.0,3.0,b'R'
5.0,2.0,4.0,4.0,b'R'
5.0,2.0,4.0,5.0,b'R'
5.0,2.0,5.0,1.0,b'L'
5.0,2.0,5.0,2.0,b'B'
5.0,2.0,5.0,3.0,b'R'
5.0,2.0,5.0,4.0,b'R'
5.0,2.0,5.0,5.0,b'R'
5.0,3.0,1.0,1.0,b'L'
5.0,3.0,1.0,2.0,b'L'
5.0,3.0,1.0,3.0,b'L'
5.0,3.0,1.0,4.0,b'L'
5.0,3.0,1.0,5.0,b'L'
5.0,3.0,2.0,1.0,b'L'
5.0,3.0,2.0,2.0,b'L'
5.0,3.0,2.0,3.0,b'L'
5.0,3.0,2.0,4.0,b'L'
5.0,3.0,2.0,5.0,b'L'
5.0,3.0,3.0,1.0,b'L'
5.0,3.0,3.0,2.0,b'L'
5.0,3.0,3.0,3.0,b'L'
5.0,3.0,3.0,4.0,b'L'
5.0,3.0,3.0,5.0,b'B'
5.0,3.0,4.0,1.0,b'L'
5.0,3.0,4.0,2.0,b'L'
5.0,3.0,4.0,3.0,b'L'
5.0,3.0,4.0,4.0,b'R'
5.0,3.0,4.0,5.0,b'R'
5.0,3.0,5.0,1.0,b'L'
5.0,3.0,5.0,2.0,b'L'
5.0,3.0,5.0,3.0,b'B'
5.0,3.0,5.0,4.0,b'R'
5.0,3.0,5.0,5.0,b'R'
5.0,4.0,1.0,1.0,b'L'
5.0,4.0,1.0,2.0,b'L'
5.0,4.0,1.0,3.0,b'L'
5.0,4.0,1.0,4.0,b'L'
5.0,4.0,1.0,5.0,b'L'
5.0,4.0,2.0,1.0,b'L'
5.0,4.0,2.0,2.0,b'L'
5.0,4.0,2.0,3.0,b'L'
5.0,4.0,2.0,4.0,b'L'
5.0,4.0,2.0,5.0,b'L'
5.0,4.0,3.0,1.0,b'L'
5.0,4.0,3.0,2.0,b'L'
5.0,4.0,3.0,3.0,b'L'
5.0,4.0,3.0,4.0,b'L'
5.0,4.0,3.0,5.0,b'L'
5.0,4.0,4.0,1.0,b'L'
5.0,4.0,4.0,2.0,b'L'
5.0,4.0,4.0,3.0,b'L'
5.0,4.0,4.0,4.0,b'L'
5.0,4.0,4.0,5.0,b'B'
5.0,4.0,5.0,1.0,b'L'
5.0,4.0,5.0,2.0,b'L'
5.0,4.0,5.0,3.0,b'L'
5.0,4.0,5.0,4.0,b'B'
5.0,4.0,5.0,5.0,b'R'
5.0,5.0,1.0,1.0,b'L'
5.0,5.0,1.0,2.0,b'L'
5.0,5.0,1.0,3.0,b'L'
5.0,5.0,1.0,4.0,b'L'
5.0,5.0,1.0,5.0,b'L'
5.0,5.0,2.0,1.0,b'L'
5.0,5.0,2.0,2.0,b'L'
5.0,5.0,2.0,3.0,b'L'
5.0,5.0,2.0,4.0,b'L'
5.0,5.0,2.0,5.0,b'L'
5.0,5.0,3.0,1.0,b'L'
5.0,5.0,3.0,2.0,b'L'
5.0,5.0,3.0,3.0,b'L'
5.0,5.0,3.0,4.0,b'L'
5.0,5.0,3.0,5.0,b'L'
5.0,5.0,4.0,1.0,b'L'
5.0,5.0,4.0,2.0,b'L'
5.0,5.0,4.0,3.0,b'L'
5.0,5.0,4.0,4.0,b'L'
5.0,5.0,4.0,5.0,b'L'
5.0,5.0,5.0,1.0,b'L'
5.0,5.0,5.0,2.0,b'L'
5.0,5.0,5.0,3.0,b'L'
5.0,5.0,5.0,4.0,b'L'
5.0,5.0,5.0,5.0,b'B'
